order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
5245,"2304797159142195671	",203872,370.35,2020-05-08,18
5248,"2304801137204658744	",204432,2.29,2020-05-08,3
5249,"2304813312472253280	",205105,208.31,2020-05-08,23
5250,"2304823285436645437	",206755,416.64,2020-05-08,14
5251,"2304824809395060840	",206755,416.64,2020-05-08,22
6392,"2306490916522689473	",206755,462.71,2020-05-11,9
6478,"2306537545078407699	",206755,462.71,2020-05-11,11
6511,"2306556010300441026	",206755,462.71,2020-05-11,17
8268,"2308173679885812106	",206755,140.95,2020-05-13,8
8274,"2308177303638639325	",206755,140.95,2020-05-13,8
8276,"2308177957975229204	",206755,140.95,2020-05-13,10
8277,"2308178980018062193	",206755,140.95,2020-05-13,19
8375,"2308301317749080444	",206755,140.95,2020-05-13,13
8378,"2308306242742780609	",206755,32.38,2020-05-13,3
8379,"2308309089567900532	",206755,16.88,2020-05-13,10
8380,"2308309089567900532	",206755,32.38,2020-05-13,24
8709,"2308757988443161260	",206755,32.38,2020-05-14,11
8716,"2308760194009531284	",206755,32.38,2020-05-14,3
8718,"2308761326840709160	",206755,32.38,2020-05-14,5
8719,"2308762157371621509	",206755,32.38,2020-05-14,13
8727,"2308769665964311479	",206755,32.38,2020-05-14,5
5252,"2304825776324739200	",200346,1215.25,2020-05-08,15
5500,"2305174576281157920	",200346,1215.25,2020-05-09,12
5513,"2305182497123599347	",200346,1215.25,2020-05-09,2
5253,"2304827409804820657	",202443,254.61,2020-05-08,23
5254,"2304827517195780277	",205106,27.75,2020-05-08,20
5257,"2304836751518073271	",200678,335.63,2020-05-08,19
5258,"2304841846792127023	",201558,138.63,2020-05-08,4
5259,"2304852705694188337	",200394,856.23,2020-05-08,10
5261,"2304869002242949295	",205108,138.63,2020-05-08,1
5262,"2304896044028134084	",205109,266.18,2020-05-09,4
5263,"2304896044028134084	",205109,231.46,2020-05-09,18
5264,"2304896044028134084	",205109,372.66,2020-05-09,22
5265,"2304901873229890369	",205110,24.05,2020-05-09,3
5266,"2304901873229890369	",205110,3.45,2020-05-09,17
5267,"2304908699258323937	",203279,14.1,2020-05-09,23
5268,"2304910831407595538	",201382,347.2,2020-05-09,15
5270,"2304916712283177114	",201844,39.33,2020-05-09,11
5581,"2305250430235443725	",201844,43.96,2020-05-09,6
5272,"2304928602480705914	",200713,39.33,2020-05-09,15
5273,"2304936090529694252	",205112,23.13,2020-05-09,9
5274,"2304942294081471176	",204270,20.81,2020-05-09,21
5275,"2304945589026030365	",206661,10.39,2020-05-09,3
5276,"2304945589026030365	",206661,10.39,2020-05-09,4
5278,"2304950850344190890	",206672,856.23,2020-05-09,19
5279,"2304952933780816882	",205113,254.61,2020-05-09,5
5280,"2304958794808950971	",205111,110.86,2020-05-09,6
5281,"2304970644472726128	",201733,17.34,2020-05-09,20
5282,"2304973763013247737	",205114,34.7,2020-05-09,8
5283,"2304973763013247737	",205114,48.59,2020-05-09,3
5284,"2304973763013247737	",205114,5.76,2020-05-09,11
5285,"2304973763013247737	",205114,5.76,2020-05-09,19
5286,"2304976227049407314	",202095,11.55,2020-05-09,1
5287,"2304980200582022117	",200504,532.38,2020-05-09,6
5288,"2304980923570978820	",200741,19.65,2020-05-09,5
5289,"2304982228695777352	",205073,9.24,2020-05-09,20
5290,"2304983885160644771	",206765,273.13,2020-05-09,1
5291,"2304983885160644771	",206765,2.29,2020-05-09,19
5292,"2304983885160644771	",206765,231.23,2020-05-09,21
5293,"2304983885160644771	",206765,5.07,2020-05-09,16
5294,"2304984637962715335	",200768,1387.25,2020-05-09,17
5295,"2304988178961924479	",205115,300.9,2020-05-09,17
5296,"2304988435250676105	",202124,18.5,2020-05-09,23
5297,"2304988435250676105	",202124,23.13,2020-05-09,9
5298,"2304994834852610762	",201196,9.24,2020-05-09,21
5299,"2304995244225069798	",200907,300.9,2020-05-09,9
5300,"2304995362412167918	",205062,101.6,2020-05-09,5
5301,"2304997109180400457	",203326,43.96,2020-05-09,9
5302,"2305000178924389351	",202313,856.23,2020-05-09,15
5303,"2305001764622958662	",205118,18.5,2020-05-09,23
5304,"2305001764622958662	",205118,5.76,2020-05-09,24
5305,"2305001764622958662	",205118,23.12,2020-05-09,20
5306,"2305011273789604517	",200436,324.05,2020-05-09,8
6491,"2306543046595969103	",200436,150.44,2020-05-11,17
5307,"2305012020887421648	",205034,87.94,2020-05-09,8
